steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
470000	2348	8379.395547389984	-118.03764877468467	-120.05019666790068	75.74079317113755	-0.4982332659732613	-229.68611156055968	-14.63194	-14.667983	0.17556789994239808	0.1880927900597453	460001	-0.94728065	0.02041073888540268
475000	2372	8468.367421150208	-170.27371285447168	-172.70540765376165	88.06105173099878	-1.1161610036292304	-300.78640707368805	-13.51273	-13.478849	0.20822124771773814	0.20945735037326813	465001	-0.93895763	0.020337719470262527
480000	2400	8583.095839262009	-128.9410384368797	-123.14573744379028	82.44532152746619	-0.035993072790248146	-227.9819466965509	-14.051304	-14.07192	0.20838784094899893	0.1887206694856286	470001	-0.999245	0.022009825333952904
485000	2424	8730.439754247665	-141.60423411296642	-123.78293536965285	69.12269144626146	-2.070671814453282	-231.1131187653313	-15.1079235	-15.109643	0.1508505554124713	0.13726960748434067	475001	-1.1035466	0.019918862730264664
490000	2448	8816.447893619537	-198.08842302141116	-224.21884510159367	71.69537775210836	-117.97474677445487	-304.3514070474844	-13.826849	-13.868019	0.18486809965223075	0.18374800864607096	480001	-0.93966895	0.01699892058968544
495000	2472	8921.680213689804	-107.70803901980348	-121.16982252993645	64.79262448372143	-0.7103271075350626	-225.09806470596828	-18.385845	-18.416939	0.18818935431540013	0.17173434354364872	485001	-1.0520719	0.019169554114341736
500000	2500	9049.635944843292	-95.29480483074391	-117.96013781211713	49.90994114848426	-0.060101460720377815	-123.50486747319087	-15.912439	-15.90971	0.1629575377702713	0.15739920031279325	490001	-1.0104859	0.01757204905152321
505000	2524	9141.591259717941	-139.18438274200557	-119.11813727704231	69.63405894206788	-2.4457943653989718	-228.2167897234303	-14.41092	-14.391014	0.15046803236007691	0.14765630047768355	495001	-1.1283634	0.018117669969797134
510000	2548	9232.84706401825	-168.99816689868658	-124.21293754427421	66.98027254377958	-115.61214341292697	-296.2316175545242	-18.576141	-18.590826	0.1803783044219017	0.23850244216620922	500001	-1.0076061	0.01818661205470562
515000	2572	9320.901691913605	-95.86322261000922	-61.24768467112542	109.2083935975509	-0.020926401140398385	-243.48342745021748	-10.154815	-10.180719	0.15958145309239627	0.1849874559044838	505001	-0.841847	0.017420725896954536
520000	2600	9408.792021274567	-116.00875479833239	-122.09994281152919	90.85570532070997	-0.41092833323443734	-228.6612119044603	-14.424235	-14.437299	0.27502757363021374	0.2467592365294695	510001	-1.0885053	0.017255330458283424
525000	2624	9494.483896493912	-129.4211067442749	-121.26684102095459	84.41564159272644	-0.4029546383555047	-231.2476312280194	-12.328909	-12.349188	0.25624658342450857	0.20745924025774	515001	-1.0002046	0.01541671808809042
530000	2648	9581.763366937637	-128.70510671403136	-120.73588581378453	83.18737940379954	-0.38850372435787117	-232.4357182677683	-16.644016	-16.61377	0.49617555662989615	0.4332403025776148	520001	-1.1355307	0.01994694396853447
535000	2672	9667.951800346375	-178.14927535090297	-174.65655120325403	59.40381359393139	-119.6303030454404	-252.83683763226142	-15.709486	-15.690489	0.19098563231527804	0.3207629368454218	525001	-1.0202312	0.016917716711759567
540000	2700	9754.021659612656	-117.03690294287307	-118.78661626216928	75.18603677407835	-0.3783664721586487	-231.574222755652	-14.514953	-14.54426	0.22953333467245102	0.21502139389514924	530001	-1.0744675	0.01811087131500244
